station id,station name,latitude,longitude
345,Park Plaza at Charles St S.,42.35182807,-71.06781138
346,Cleveland Circle,42.33554308,-71.1506152
348,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111
349,Washington St at Talbot Ave,42.290333,-71.071806
350,Codman Square Library,42.2873611,-71.071111
351,Faneuil St at Arlington St,42.35276621,-71.15988486
352,Ring Rd,42.34827839,-71.08044855
353,Mattapan Library,42.2773889,-71.09325
355,Bennington St at Constitution Beach,42.38522394,-71.01063069
356,Charlestown Navy Yard,42.37412455,-71.054812
358,Medford St at Charlestown BCYF,42.38042947,-71.06055722
359,One Brigham Circle,42.3339227,-71.10446509
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582
361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821
362,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093
363,Harrison Ave at Mullins Way,42.34521562,-71.06384031
364,Tremont St at Northampton St,42.3388956,-71.08149976
365,Harrison Ave at Bennet St,42.3494261,-71.0620996
366,Broadway T Stop,42.34278116,-71.05747275
367,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272
369,Boston Public Market,42.36254854,-71.05737358
370,Dartmouth St at Newbury St,42.35096144,-71.07782811
371,700 Huron Ave,42.38078817,-71.15412891
372,Boylston St at Exeter St,42.34958942,-71.07946779
373,Belgrade Ave at Walworth St,42.28634589,-71.1367213
374,Tremont St at Hamilton Pl,42.35668335,-71.06166646
376,Honan Library,42.3602737,-71.12852452
377,Perry Park,42.37927325,-71.10341903
378,191 Beacon St,42.38032335,-71.10878613
379,Tremont St at W. Dedham St,42.34254914,-71.07421449
380,Mass Ave at Albany St,42.36135838,-71.09670274
381,Inman Square at Springfield St.,42.37438409,-71.10015746
385,Albany St at E. Brookline St,42.33664795,-71.0689446
386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186
387,Norman St at Kelvin St,42.40985878,-71.06631868
388,Main Street at Carter Street,42.40413,-71.0613
389,Everett Square (Broadway at Chelsea St),42.40725945,-71.05546381
390,Broadway at Lynde St,42.39648358,-71.0654676
391,Encore,42.39329263,-71.0724476
392,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656
393,Ferry St at Pleasantview Ave,42.41250451,-71.05842225
394,Broadway at Maple St,42.41034691,-71.05260458
395,Chelsea St at Vine St,42.40328057,-71.0476264
396,Main St at Beacon St,42.40933007,-71.06381878
397,Broadway at Beacham St,42.3983606,-71.06373843
398,75 Binney St,42.36550729,-71.0801376
399,Shawmut Ave at Oak St W,42.34854543,-71.06559185
400,Lansdowne T Stop,42.34734473,-71.10016808
401,High St at Cypress St,42.32538436,-71.12177596
402,Washington St at Griggs Rd,42.33833424,-71.1305093
403,Marion St at Harvard St,42.33978053,-71.1213335
404,Mass Ave T Station,42.34135616,-71.08336953
405,Sydney St at Carson St,42.32039374,-71.05355408
406,Somerville City Hall Annex,42.39189812,-71.09745376
407,Craigie at Summer St,42.38363402,-71.10855814
